Numero;Intitule_Complet;Niveau_Classe;Creneau
1;Préparatoire 1ère année (4-6 ans) MERCREDI;Préparatoire 1ère année (4-6 ans);MERCREDI
2;Préparatoire 1ère année (4-6 ans) SAMEDI MATIN;Préparatoire 1ère année (4-6 ans);SAMEDI MATIN
3;Préparatoire 1ère année (4-6 ans) SAMEDI A-M;Préparatoire 1ère année (4-6 ans);SAMEDI A-M
4;Préparatoire 1ère année (4-6 ans) DIMANCHE MATIN;Préparatoire 1ère année (4-6 ans);DIMANCHE MATIN
5;Préparatoire 2ème année (5-6 ans) MERCREDI;Préparatoire 2ème année (5-6 ans);MERCREDI
6;Préparatoire 2ème année (5-6 ans) SAMEDI MATIN;Préparatoire 2ème année (5-6 ans);SAMEDI MATIN
7;Préparatoire 2ème année (5-6 ans) DIMANCHE MATIN;Préparatoire 2ème année (5-6 ans);DIMANCHE MATIN
8;Élémentaire Débutant 1 (7-14 ans) SAMEDI MATIN;Élémentaire Débutant 1 (7-14 ans);SAMEDI MATIN
9;Élémentaire Débutant 1 (7-14 ans) SAMEDI A-M;Élémentaire Débutant 1 (7-14 ans);SAMEDI A-M
10;Élémentaire Débutant 1 (7-14 ans) DIMANCHE MATIN;Élémentaire Débutant 1 (7-14 ans);DIMANCHE MATIN
11;Élémentaire Débutant 1 (7-14 ans) DIMANCHE A-M;Élémentaire Débutant 1 (7-14 ans);DIMANCHE A-M
12;Élémentaire 1+ (NON débutant) MERCREDI;Élémentaire 1+ (NON débutant);MERCREDI
13;Élémentaire 1+ (NON débutant) SAMEDI MATIN;Élémentaire 1+ (NON débutant);SAMEDI MATIN
14;Élémentaire 1+ (NON débutant) SAMEDI A-M;Élémentaire 1+ (NON débutant);SAMEDI A-M
15;Élémentaire 1+ (NON débutant) DIMANCHE MATIN;Élémentaire 1+ (NON débutant);DIMANCHE MATIN
16;Élémentaire 1+ (NON débutant) DIMANCHE A-M;Élémentaire 1+ (NON débutant);DIMANCHE A-M
17;Élémentaire 2 et 2 + (7-14 ans) MERCREDI;Élémentaire 2 et 2 + (7-14 ans);MERCREDI
18;Élémentaire 2 (7-14 ans) SAMEDI MATIN;Élémentaire 2 (7-14 ans);SAMEDI MATIN
19;Élémentaire 2 (7-14 ans) DIMANCHE A-M;Élémentaire 2 (7-14 ans);DIMANCHE A-M
20;Élémentaire 2+ (7-14 ans) DIMANCHE A-M;Élémentaire 2+ (7-14 ans);DIMANCHE A-M
21;Élémentaire 3 et 3+ (7-12 ans) DIMANCHE A-M;Élémentaire 3 et 3+ (7-12 ans);DIMANCHE A-M
22;Élémentaire 4 (7-14 ans) MERCREDI;Élémentaire 4 (7-14 ans);MERCREDI
23;Élémentaire 5 (7-15 ans) DIMANCHE A-M;Élémentaire 5 (7-15 ans);DIMANCHE A-M
24;Femme intermediare ARABE + TAJ SAMEDI MATIN;Femme intermediare ARABE + TAJ;SAMEDI MATIN
